name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,6000,1,6000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,6500,1,6500.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,6500,2,3250.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7000,1,7000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7000,1,7000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,7500,2,3750.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7500,2,3750.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7500,1,7500.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7500,1,7500.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7700,1,7700.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7700,2,3850.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7700,2,3850.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,7800,1,7800.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,7800,2,3900.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,7800,1,7800.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7800,2,3900.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7800,1,7800.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7900,3,2633.3333333333335,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,7900,2,3950.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,7900,2,3950.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,7900,2,3950.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,8000,2,4000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,8000,1,8000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,8000,2,4000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,8000,2,4000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,8000,2,4000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,8000,2,4000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,8000,4,2000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,8000,2,4000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,8000,2,4000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,8500,2,4250.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,8500,1,8500.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,8500,1,8500.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,8500,1,8500.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,8500,1,8500.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,8800,4,2200.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,8900,1,8900.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,8900,2,4450.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,8900,2,4450.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,8900,2,4450.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,9000,1,9000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,9000,3,3000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,9000,1,9000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,9000,2,4500.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,9000,2,4500.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,9000,1,9000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,9000,2,4500.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,9000,1,9000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,9000,2,4500.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,9200,2,4600.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,9500,2,4750.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,9500,2,4750.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,9500,3,3166.6666666666665,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,9500,2,4750.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,9800,1,9800.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,10000,1,10000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,10000,2,5000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,10000,2,5000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,10000,2,5000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,10000,1,10000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,1,10000,2,5000.0,0,0,NEWS
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-23,2,1,0,10000,1,10000.0,0,0,NEWS
