name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname,age
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,1,18800,2,9400.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,8000,2,4000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,2,3000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,7500,2,3750.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,4500,1,4500.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,4500,2,2250.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,4600,2,2300.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,4900,2,2450.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,4900,2,2450.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5000,1,5000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,1,5000,2,2500.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5000,2,2500.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,1,5000,2,2500.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5000,2,2500.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5000,2,2500.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5000,2,2500.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5300,2,2650.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,1,5500,2,2750.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,1,5500,1,5500.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5500,2,2750.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5500,1,5500.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5500,2,2750.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5600,1,5600.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5600,1,5600.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5700,1,5700.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5820,2,2910.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5820,2,2910.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5820,2,2910.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5820,2,2910.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,1,5900,2,2950.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5900,2,2950.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,1,5980,1,5980.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,5990,2,2995.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,1,6000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,2,3000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,1,6000,2,3000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,1,6000,2,3000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,2,3000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,1,6000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,2,3000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,2,3000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,1,6000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,2,3000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,1,6000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,1,6000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,2,3000.0,0,0,NEWS,32.75
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-24,1,1,0,6000,2,3000.0,0,0,NEWS,32.75
