name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname,age
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,0,25000,1,25000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,0,25000,2,12500.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,1,34000,1,34000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,0,38000,1,38000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,1,40000,2,20000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,0,42000,1,42000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,0,44000,2,22000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,0,45000,1,45000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,0,46500,1,46500.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,1,47000,1,47000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,0,48000,2,24000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,1,54000,2,27000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,1,70000,1,70000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,1,81000,1,81000.0,0,0,ジャニーズJr,22.3
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,1,0,100000,1,100000.0,0,0,ジャニーズJr,22.3
