name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,0,15000,1,15000.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,0,18000,1,18000.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,0,19000,2,9500.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,0,20000,1,20000.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,0,20000,2,10000.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,0,21000,1,21000.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,0,21000,2,10500.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,0,22000,1,22000.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,1,23000,2,11500.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,1,23000,1,23000.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,1,24999,1,24999.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,1,25000,1,25000.0,1,1
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-05,2019-08-04,1,1,0,25000,2,12500.0,1,1
