name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname
HAMLET ハムレット,2019-09-08,2019-06-22,78,1,1,48000,2,24000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-22,78,1,1,68888,1,68888.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-22,78,1,1,70000,1,70000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-22,78,1,1,75000,2,37500.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-22,78,1,1,90000,1,90000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-22,78,1,1,97500,2,48750.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-22,78,1,1,100000,2,50000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-08,2019-06-22,78,1,1,115000,1,115000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-09,2019-06-22,79,1,1,60000,1,60000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-10,2019-06-22,80,1,1,39000,1,39000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-10,2019-06-22,80,1,1,40000,1,40000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-10,2019-06-22,80,1,1,40000,2,20000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-10,2019-06-22,80,1,1,41000,1,41000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-10,2019-06-22,80,1,1,43000,1,43000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-11,2019-06-22,81,1,1,55000,1,55000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-13,2019-06-22,83,1,1,55000,1,55000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-13,2019-06-22,83,1,1,69000,1,69000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-14,2019-06-22,84,1,1,55000,1,55000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-14,2019-06-22,84,1,1,55000,2,27500.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-14,2019-06-22,84,1,1,48000,1,48000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-14,2019-06-22,84,1,1,65000,1,65000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-16,2019-06-22,86,1,1,34000,1,34000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-16,2019-06-22,86,1,1,38000,2,19000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-16,2019-06-22,86,1,1,39000,1,39000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-16,2019-06-22,86,1,1,40000,2,20000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-17,2019-06-22,87,1,1,35000,2,17500.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-17,2019-06-22,87,1,1,55000,2,27500.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-18,2019-06-22,88,1,1,35000,1,35000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-18,2019-06-22,88,1,1,50000,2,25000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-18,2019-06-22,88,1,1,60000,1,60000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-20,2019-06-22,90,1,1,45000,1,45000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-20,2019-06-22,90,1,1,50000,2,25000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-21,2019-06-22,91,1,1,35500,2,17750.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-21,2019-06-22,91,1,1,45000,2,22500.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-21,2019-06-22,91,1,1,60000,2,30000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-21,2019-06-22,91,1,1,34900,2,17450.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-21,2019-06-22,91,1,1,35000,1,35000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-21,2019-06-22,91,1,1,48000,2,24000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-21,2019-06-22,91,1,1,65000,1,65000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-21,2019-06-22,91,1,1,65000,2,32500.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-22,94,1,1,32000,2,16000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-22,94,1,1,35000,1,35000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-22,94,1,1,38500,3,12833.333333333336,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-22,94,1,1,45000,2,22500.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-22,94,1,1,47000,2,23500.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-22,94,1,1,50000,2,25000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-22,94,1,1,50000,2,25000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-24,2019-06-22,94,1,1,50000,1,50000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-25,2019-06-22,95,1,1,50000,1,50000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-25,2019-06-22,95,1,1,80000,2,40000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-28,2019-06-22,98,1,1,40000,2,20000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-28,2019-06-22,98,1,1,35000,2,17500.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-28,2019-06-22,98,1,1,45000,1,45000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-28,2019-06-22,98,1,1,50000,1,50000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-28,2019-06-22,98,1,1,55000,1,55000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-29,2019-06-22,99,1,1,50000,2,25000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-09-30,2019-06-22,100,1,1,50000,2,25000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-22,101,1,1,35650,1,35650.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-22,101,1,1,45000,1,45000.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-22,101,1,1,33000,2,16500.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-22,101,1,1,45000,2,22500.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-10-01,2019-06-22,101,1,1,49500,2,24750.0,1,1,セクシーゾーン
HAMLET ハムレット,2019-10-02,2019-06-22,102,1,1,40000,1,40000.0,1,1,セクシーゾーン
