name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname,age
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,1,33000,1,33000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,1,40000,2,20000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,1,43000,2,21500.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,1,43000,1,43000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,1,53000,1,53000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,0,53000,2,26500.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,1,55000,1,55000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,1,97500,2,48750.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,1,100000,2,50000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,1,110000,1,110000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,1,130000,1,130000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-08,2019-08-07,32,1,1,150000,1,150000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-09,2019-08-07,33,1,1,25000,1,25000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-09,2019-08-07,33,1,1,25000,2,12500.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-09,2019-08-07,33,1,0,25000,2,12500.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-09,2019-08-07,33,1,1,28000,1,28000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-09,2019-08-07,33,1,1,40000,1,40000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-09,2019-08-07,33,1,1,80000,2,40000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-10,2019-08-07,34,1,1,50000,2,25000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-11,2019-08-07,35,1,1,33500,1,33500.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-11,2019-08-07,35,1,1,45000,1,45000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-13,2019-08-07,37,1,1,33000,1,33000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-13,2019-08-07,37,1,1,40000,2,20000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-13,2019-08-07,37,1,1,50000,2,25000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-13,2019-08-07,37,1,1,69000,1,69000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-14,2019-08-07,38,1,1,30000,1,30000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-14,2019-08-07,38,1,1,100000,1,100000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-16,2019-08-07,40,1,1,40000,2,20000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-16,2019-08-07,40,1,1,42000,2,21000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-16,2019-08-07,40,1,1,30000,1,30000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-16,2019-08-07,40,1,1,30000,1,30000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-16,2019-08-07,40,1,1,40000,2,20000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-16,2019-08-07,40,1,1,43500,1,43500.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-17,2019-08-07,41,1,1,30000,2,15000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-17,2019-08-07,41,1,1,32000,1,32000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-17,2019-08-07,41,1,1,100000,1,100000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-17,2019-08-07,41,1,1,100000,2,50000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-18,2019-08-07,42,1,1,40000,2,20000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-18,2019-08-07,42,1,1,50000,2,25000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-20,2019-08-07,44,1,1,45000,2,22500.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-20,2019-08-07,44,1,1,50000,2,25000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-21,2019-08-07,45,1,1,33000,1,33000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-21,2019-08-07,45,1,1,40000,2,20000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-21,2019-08-07,45,1,1,41000,1,41000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-21,2019-08-07,45,1,1,25000,2,12500.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-21,2019-08-07,45,1,1,28000,1,28000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-21,2019-08-07,45,1,1,75000,2,37500.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-24,2019-08-07,48,1,1,27500,2,13750.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-24,2019-08-07,48,1,1,30000,1,30000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-24,2019-08-07,48,1,1,38000,2,19000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-24,2019-08-07,48,1,1,40000,2,20000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-24,2019-08-07,48,1,1,47000,2,23500.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-24,2019-08-07,48,1,1,50000,2,25000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-24,2019-08-07,48,1,1,50000,2,25000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-25,2019-08-07,49,1,0,28000,1,28000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-25,2019-08-07,49,1,1,35000,2,17500.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-25,2019-08-07,49,1,1,40000,1,40000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-25,2019-08-07,49,1,1,43000,1,43000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-25,2019-08-07,49,1,1,45000,1,45000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-25,2019-08-07,49,1,1,50000,1,50000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-25,2019-08-07,49,1,1,80000,2,40000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-25,2019-08-07,49,1,1,32000,1,32000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-27,2019-08-07,51,1,1,60000,1,60000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-27,2019-08-07,51,1,1,65000,1,65000.0,1,1,セクシーゾーン,22.2
HAMLET ハムレット,2019-09-28,2019-08-07,52,1,1,30000,2,15000.0,1,1,セクシーゾーン,22.2
