name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname
ごごウタ★入場整理券★氷川きよし★6/28金★ペア★女性名義,2019-06-28,2019-06-19,9,0,1,5850,1,5850.0,1,0,演歌
送料込◆ペア松平健 川中美幸 中村玉緒 新歌舞伎座 開場60周年特別企画6月22日(土)夜の部,2019-06-22,2019-06-19,3,0,1,3500,1,3500.0,1,0,演歌
☆盛岡☆氷川きよしコンサートツアー2019~20周年大感謝祭!!~7月20日(土)18:00~ペアチケット,2019-07-20,2019-06-19,31,0,1,20000,1,20000.0,1,0,演歌
島津亜矢 アクトシティ浜松大ホール7/27 土16時スペシャルコンサート第2部チケットご招待券,2019-07-27,2019-06-19,38,0,1,1000,1,1000.0,1,0,演歌
山内惠介☆大宮ソニックシティ6/24 S席・送料無料(^^♪,2019-06-24,2019-06-19,5,0,1,5500,1,5500.0,1,0,演歌
7/27 浜松 島津亜矢コンサート 送料こみです,2019-07-27,2019-06-19,38,0,1,2000,1,2000.0,1,0,演歌
島津亜矢 7/27 13時 浜松 送料こみ,2019-07-27,2019-06-19,38,0,1,1000,1,1000.0,1,0,演歌
山内惠介全国縦断コンサートツアー2019,2019-06-20,2019-06-19,1,0,1,5000,1,5000.0,1,0,演歌
森昌子 還暦コンサート 8月28日 大田区民ホール 2枚セット,2019-08-28,2019-06-19,70,0,1,8500,2,4250.0,1,0,演歌
氷川きよしコンサートツアー2019~20周年大感謝祭!チケット2019年6月26日(水)長良川国際会議場【昼の部】,2019-06-26,2019-06-19,7,0,1,7500,1,7500.0,1,0,演歌
♪石川さゆりコンサート2019ロームシアター京都優待券,2019-06-19,2019-06-19,0,0,1,300,1,300.0,1,0,演歌
[NO2] 6月23日 17:00開演 フェスティバルホール 石川さゆりコンサート2019 1枚,2019-06-23,2019-06-19,4,0,1,7500,1,7500.0,1,0,演歌
神野美伽 ロームシアター京都 共済推進大会&コンサート,2019-06-20,2019-06-19,1,0,1,500,1,500.0,1,0,演歌
天童よしみコンサート2019お得意様予約券 1枚で4名様迄予約可 1円~,2019-06-19,2019-06-19,0,0,1,1,1,1.0,1,0,演歌
7/5 「共済推進大会&神野美伽コンサート」優待券 @京都,2019-07-05,2019-06-19,16,0,1,2000,1,2000.0,1,0,演歌
♪舟木一夫 コンサート 2019フェスティバルホール7月22日月14時~または夜18時~♪新品,2019-07-22,2019-06-19,33,0,1,300,1,300.0,1,0,演歌
"山内恵介全国横断コンサートツアーjapan季節に抱かれて歌巡り、2019,8,8(木曜日)オリンパスホール八王子14時開演S席3階2列目15番16番",2019-06-21,2019-06-19,2,0,1,20000,1,20000.0,1,0,演歌
山内恵介さんの山形公演のチケットです。,2019-06-23,2019-06-19,4,0,1,5400,1,5400.0,1,0,演歌
♪五木ひろし コンサート 2019梅田芸術劇場メインホール6月21日金14時~または夜18時~♪新品,2019-06-21,2019-06-19,2,0,1,300,1,300.0,1,0,演歌
中澤卓也コンサート故郷から全国へ・追加公演・感謝を込めて特別バージョン宣伝用チラシ50枚セット,2019-06-20,2019-06-19,1,0,1,3000,50,60.0,1,0,演歌
