x ind,t ind,y,t,x
1,1,10,0,0
2,1,10,0,0.1
3,1,10,0,0.2
4,1,10,0,0.3
5,1,10,0,0.4
6,1,10,0,0.5
7,1,10,0,0.6
8,1,10,0,0.7
9,1,10,0,0.8
10,1,10,0,0.9
11,1,10,0,1
1,2,7.428571429,4,0
2,2,10,4,0.1
3,2,10,4,0.2
4,2,10,4,0.3
5,2,10,4,0.4
6,2,10,4,0.5
7,2,10,4,0.6
8,2,10,4,0.7
9,2,10,4,0.8
10,2,10,4,0.9
11,2,10,4,1
1,3,5.297959186,8,0
2,3,9.486889796,8,0.1
3,3,10,8,0.2
4,3,10,8,0.3
5,3,10,8,0.4
6,3,10,8,0.5
7,3,10,8,0.6
8,3,10,8,0.7
9,3,10,8,0.8
10,3,10,8,0.9
11,3,10,8,1
1,4,3.532594758,12,0
2,4,8.75340609,12,0.1
3,4,9.897612524,12,0.2
4,4,10,12,0.3
5,4,10,12,0.4
6,4,10,12,0.5
7,4,10,12,0.6
8,4,10,12,0.7
9,4,10,12,0.8
10,4,10,12,0.9
11,4,10,12,1
1,5,2.069864233,16,0
2,5,7.939948701,16,0.1
3,5,9.689724992,16,0.2
4,5,9.97956931,16,0.3
5,5,10,16,0.4
6,5,10,16,0.5
7,5,10,16,0.6
8,5,10,16,0.7
9,5,10,16,0.8
10,5,10,16,0.9
11,5,10,16,1
1,6,0.857887513,20,0
2,6,7.117770635,20,0.1
3,6,9.398405995,20,0.2
4,6,9.925809745,20,0.3
5,6,9.995923202,20,0.4
6,6,10,20,0.5
7,6,10,20,0.6
8,6,10,20,0.7
9,6,10,20,0.8
10,6,10,20,0.9
11,6,10,20,1
1,7,-0.146321769,24,0
2,7,6.323740168,24,0.1
3,7,9.048561151,24,0.2
4,7,9.834560734,24,0.3
5,7,9.982746058,24,0.4
6,7,9.999186504,24,0.5
7,7,10,24,0.6
8,7,10,24,0.7
9,7,10,24,0.8
10,7,10,24,0.9
11,7,10,24,1
1,8,-0.978380871,28,0
2,8,5.576404087,28,0.1
3,8,8.661683189,28,0.2
4,8,9.707289454,28,0.3
5,8,9.956457309,28,0.4
6,8,9.996068258,28,0.5
7,8,9.999837673,28,0.6
8,8,10,28,0.7
9,8,10,28,0.8
10,8,10,28,0.9
11,8,10,28,1
1,9,-1.667801269,32,0
2,9,4.884088976,32,0.1
3,9,8.254681043,32,0.2
4,9,9.548365858,32,0.3
5,9,9.914641725,32,0.4
6,9,9.988916336,32,0.5
7,9,9.999117904,32,0.6
8,9,9.999967609,32,0.7
9,9,10,32,0.8
10,9,10,32,0.9
11,9,10,32,1
1,10,-2.239035313,36,0
2,10,4.249283648,36,0.1
3,10,7.840249036,36,0.2
4,10,9.363308027,36,0.3
5,10,9.85637496,36,0.4
6,10,9.976131018,36,0.5
7,10,9.997251807,36,0.6
8,10,9.99980452,36,0.7
9,10,9.999993537,36,0.8
10,10,10,36,0.9
11,10,10,36,1
1,11,-2.712343522,40,0
2,11,3.671137438,40,0.1
3,11,7.427613085,40,0.2
4,11,9.157780469,40,0.3
5,11,9.781883441,40,0.4
6,11,9.956449054,40,0.5
7,11,9.99354668,40,0.6
8,11,9.999332861,40,0.7
9,11,9.999957109,40,0.8
10,11,9.99999871,40,0.9
11,11,10,40,1
1,12,-3.10451318,44,0
2,12,3.146937292,44,0.1
3,12,7.023277745,44,0.2
4,12,8.937073216,44,0.3
5,12,9.692181472,44,0.4
6,12,9.929018299,44,0.5
7,12,9.987298705,44,0.6
8,12,9.998302834,44,0.7
9,12,9.999840846,44,0.8
10,12,9.999990666,44,0.9
11,12,10,44,1
1,13,-3.429453755,48,0
2,13,2.673001053,48,0.1
3,13,6.631665912,48,0.2
4,13,8.705865459,48,0.3
5,13,9.588764111,48,0.4
6,13,9.893388641,48,0.5
7,13,9.977865062,48,0.6
8,13,9.996413938,48,0.7
9,13,9.999563842,48,0.8
10,13,9.999962633,48,0.9
11,13,10,48,1
1,14,-3.698690232,52,0
2,14,2.245223081,52,0.1
3,14,6.255634319,52,0.2
4,14,8.468149874,52,0.3
5,14,9.47337364,52,0.4
6,14,9.849459658,52,0.5
7,14,9.964709691,52,0.6
8,14,9.993341183,52,0.7
9,14,9.999014877,52,0.8
10,14,9.999890514,52,0.9
11,14,10,52,1
1,15,-3.921771885,56,0
2,15,1.859406553,56,0.1
3,15,5.896877078,56,0.2
4,15,8.227243421,56,0.3
5,15,9.347833696,56,0.4
6,15,9.7974117,56,0.5
7,15,9.94742558,56,0.6
8,15,9.988760119,56,0.7
9,15,9.998057459,56,0.8
10,15,9.999737634,56,0.9
11,15,10,56,1
1,16,-4.106610969,60,0
2,16,1.511462094,60,0.1
3,16,5.556236632,60,0.2
4,16,7.985841248,60,0.3
5,16,9.213937991,60,0.4
6,16,9.737635819,60,0.5
7,16,9.925739394,60,0.6
8,16,9.982367325,60,0.7
9,16,9.996537508,60,0.8
10,16,9.99945472,60,0.9
11,16,10,60,1
1,17,-4.259763354,64,0
2,17,1.197521611,64,0.1
3,17,5.233941011,64,0.2
4,17,7.746088934,64,0.3
5,17,9.073380219,64,0.4
6,17,9.670670383,64,0.5
7,17,9.899504368,64,0.6
8,17,9.973895184,64,0.7
9,17,9.994292058,64,0.8
10,17,9.998981418,64,0.9
11,17,10,64,1
1,18,-4.386661045,68,0
2,18,0.913998037,68,0.1
3,18,4.929783526,68,0.2
4,18,7.509659255,68,0.3
5,18,8.927713709,68,0.4
6,18,9.597147584,68,0.5
7,18,9.868686337,68,0.6
8,18,9.963121079,68,0.7
9,18,9.991157736,68,0.8
10,18,9.998248941,68,0.9
11,18,10,68,1
1,19,-4.491804847,72,0
2,19,0.657610689,72,0.1
3,19,4.64325799,72,0.2
4,19,7.277826118,72,0.3
5,19,8.77833182,72,0.4
6,19,9.517750455,72,0.5
7,19,9.833346497,72,0.6
8,19,9.949871815,72,0.7
9,19,9.98697822,72,0.8
10,19,9.997183353,72,0.9
11,19,10,72,1
1,20,-4.578923997,76,0
2,20,0.42538905,76,0.1
3,20,4.373659791,76,0.2
4,20,7.051532062,76,0.3
5,20,8.626462332,76,0.4
6,20,9.433179684,76,0.5
7,20,9.793623356,76,0.6
8,20,9.934024338,76,0.7
9,20,9.981610264,76,0.8
10,20,9.995709033,76,0.9
11,20,10,76,1
1,21,-4.651108437,80,0
2,21,0.214663351,80,0.1
3,21,4.120160851,80,0.2
4,21,6.831447864,80,0.3
5,21,8.473170931,80,0.4
6,21,9.344128959,80,0.5
7,21,9.749715409,80,0.6
8,21,9.915503757,80,0.7
9,21,9.974928141,80,0.8
10,21,9.993751956,80,0.9
11,21,10,80,1
1,22,-4.710918401,84,0
2,22,0.023047476,84,0.1
3,22,3.881864678,84,0.2
4,22,6.618024018,84,0.3
5,22,8.319370273,84,0.4
6,22,9.251267384,84,0.5
7,22,9.70186541,84,0.6
8,22,9.894279587,84,0.7
9,22,9.966826587,84,0.8
10,22,9.991242551,84,0.9
11,22,10,84,1
1,23,-4.760475229,88,0
2,23,-0.151582191,88,0.1
3,23,3.657846321,88,0.2
4,23,6.411534459,88,0.3
5,23,8.165832193,88,0.4
6,23,9.15522759,88,0.5
7,23,9.650346667,88,0.6
8,23,9.870360948,88,0.7
9,23,9.957222383,88,0.8
10,23,9.988118006,88,0.9
11,23,10,88,1
1,24,-4.801536602,92,0
2,24,-2.867860119,92,0.1
3,24,3.44718087,92,0.2
4,24,6.212113242,92,0.3
5,24,8.013201395,92,0.4
6,24,9.056598281,92,0.5
7,24,9.59545147,92,0.6
