name,date,collected_at,until,isJannies,available,price_per_deal,unit,price_per_unit,after_constructed
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-17,2019-05-16,1,1,1,77000,1,77000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-17,2019-05-16,1,1,0,99000,1,99000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-17,2019-05-16,1,1,0,150000,1,150000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-17,2019-05-16,1,1,1,215000,1,215000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-17,2019-05-16,1,1,1,230000,1,230000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-17,2019-05-16,1,1,1,230000,2,115000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-17,2019-05-16,1,1,0,230000,1,230000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-17,2019-05-16,1,1,0,250000,1,250000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-17,2019-05-16,1,1,1,280000,2,140000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-18,2019-05-16,2,1,1,58000,2,29000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-18,2019-05-16,2,1,1,60000,1,60000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-18,2019-05-16,2,1,1,60000,1,60000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-18,2019-05-16,2,1,1,61000,1,61000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-18,2019-05-16,2,1,1,62800,2,31400.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-18,2019-05-16,2,1,1,68000,1,68000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-18,2019-05-16,2,1,1,70000,2,35000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-18,2019-05-16,2,1,1,80000,1,80000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-18,2019-05-16,2,1,1,87000,1,87000.0,0
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-18,2019-05-16,2,1,1,95000,1,95000.0,0
