name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り! オープンライブ,2019-07-20,2019-06-18,32,1,1,14000,2,7000.0,1,1,ジャニーズJr
HAMLET ハムレット,2019-10-05,2019-06-26,101,1,1,56000,2,28000.0,1,1,セクシーゾーン
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-14,4,1,1,14000,2,7000.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-19,2019-07-16,3,1,1,8000,2,4000.0,1,1,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-07-12,2019-07-06,6,1,1,20000,2,10000.0,1,1,キスマイフットツー
Sexy Zone セクシーゾーン LIVE TOUR 2019 PAGES,2019-05-25,2019-05-20,5,1,1,55000,2,27500.0,0,0,セクシーゾーン
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-19,5,1,1,220000,1,220000.0,0,0,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-06-15,2019-06-03,12,1,1,31000,2,15500.0,0,0,キスマイフットツー
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-26,2019-07-25,1,1,0,40000,2,20000.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-31,2019-07-29,2,1,0,29000,1,29000.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-15,3,1,1,13000,1,13000.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-24,2019-07-23,1,1,0,12000,2,6000.0,1,1,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-07-12,2019-07-07,5,1,0,19000,1,19000.0,1,1,キスマイフットツー
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-06-15,2019-06-13,2,1,1,25000,2,12500.0,0,0,キスマイフットツー
ミュージカル ドン・ジュアン,2019-09-02,2019-08-11,22,1,1,85000,1,85000.0,1,1,キスマイフットツー
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-19,2019-07-02,17,1,1,16000,2,8000.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-11,7,1,1,45000,2,22500.0,1,1,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-06-15,2019-06-11,4,1,0,28000,2,14000.0,0,0,キスマイフットツー
山田ジャパン HEY！ポール！,2019-07-18,2019-07-18,0,1,1,7000,1,7000.0,1,1,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-06-16,2019-06-16,0,1,0,11000,2,5500.0,1,1,キスマイフットツー
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-04,2019-08-03,1,1,1,35000,2,17500.0,1,1,ジャニーズJr
NEWS ニュース LIVE TOUR 2019 WORLDISTA,2019-05-25,2019-05-22,3,1,1,11000,1,11000.0,0,0,NEWS
ジャニーズJr. ジャニーズ IsLAND Festival,2019-05-25,2019-05-25,0,1,0,54999,1,54999.0,0,0,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-06-15,2019-06-04,11,1,1,35000,2,17500.0,0,0,キスマイフットツー
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-26,2019-07-25,1,1,0,52000,2,26000.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-29,2019-07-28,1,1,0,13000,2,6500.0,1,1,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-07-13,2019-06-23,20,1,1,40000,2,20000.0,1,1,キスマイフットツー
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-06-22,2019-06-17,5,1,1,17000,2,8500.0,1,1,キスマイフットツー
Sexy Zone セクシーゾーン LIVE TOUR 2019 PAGES,2019-05-25,2019-05-25,0,1,0,22000,1,22000.0,0,0,セクシーゾーン
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-06,2019-08-05,1,1,1,95000,2,47500.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-22,2019-07-21,1,1,1,10000,2,5000.0,1,1,ジャニーズJr
ミュージカル ドン・ジュアン,2019-09-11,2019-07-28,45,1,1,45000,1,45000.0,1,1,キスマイフットツー
HAMLET ハムレット,2019-10-01,2019-08-04,58,1,1,120000,1,120000.0,1,1,セクシーゾーン
ミュージカル ドン・ジュアン,2019-09-13,2019-07-22,53,1,0,30000,2,15000.0,1,1,キスマイフットツー
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-21,2019-07-19,2,1,1,58000,1,58000.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-24,2019-07-24,0,1,0,13000,2,6500.0,1,1,ジャニーズJr
Sexy Zone セクシーゾーン LIVE TOUR 2019 PAGES,2019-05-25,2019-05-25,0,1,0,58000,2,29000.0,0,0,セクシーゾーン
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-07-12,2019-06-24,18,1,1,25000,2,12500.0,1,1,キスマイフットツー
映画 パラレルワールド・ラブストーリー 4大都市舞台挨拶,2019-06-10,2019-06-07,3,1,1,50000,1,50000.0,0,0,キスマイフットツー
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-28,2019-07-28,0,1,0,27000,2,13500.0,1,1,ジャニーズJr
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-04,2019-08-03,1,1,1,55000,1,55000.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-11,7,1,1,30000,1,30000.0,1,1,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-06-22,2019-06-17,5,1,0,65000,2,32500.0,1,1,キスマイフットツー
山田ジャパン HEY！ポール！,2019-07-18,2019-07-10,8,1,1,8000,1,8000.0,1,1,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-06-22,2019-06-18,4,1,0,12000,2,6000.0,1,1,キスマイフットツー
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-24,2019-05-21,3,1,1,210000,1,210000.0,0,0,ジャニーズJr
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-19,2019-05-17,2,1,1,230000,1,230000.0,0,0,ジャニーズJr
HiHi Jets ジャニーズ銀座2019 Tokyo Experience,2019-05-25,2019-05-19,6,1,1,90000,2,45000.0,0,0,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-19,2019-07-02,17,1,1,21999,1,21999.0,1,1,ジャニーズJr
ジャニーズJr. 8・8祭り 東京ドームから始まる,2019-08-08,2019-08-08,0,1,0,23000,2,11500.0,1,1,ジャニーズJr
