name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-31,2019-07-31,0,1,1,35000,1,35000.0,1,1,ジャニーズJr
HAMLET ハムレット,2019-09-18,2019-06-27,83,1,1,50000,2,25000.0,1,1,セクシーゾーン
映画 パラレルワールド・ラブストーリー 4大都市舞台挨拶,2019-06-14,2019-06-13,1,1,1,39000,1,39000.0,0,0,キスマイフットツー
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-19,2019-06-26,23,1,1,17500,1,17500.0,1,1,ジャニーズJr
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-06,2019-08-04,2,1,1,175000,1,175000.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-27,2019-07-25,2,1,0,24000,2,12000.0,1,1,ジャニーズJr
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り! オープンライブ,2019-07-20,2019-07-02,18,1,1,23000,1,23000.0,1,1,ジャニーズJr
舞台 GOOD PEOPLE,2019-07-18,2019-06-17,31,1,1,17000,1,17000.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-22,2019-07-21,1,1,0,12500,1,12500.0,1,1,ジャニーズJr
ジャニーズJr. 8・8祭り 東京ドームから始まる,2019-08-08,2019-08-07,1,1,1,27000,2,13500.0,1,1,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-07-12,2019-06-29,13,1,1,30000,2,15000.0,1,1,キスマイフットツー
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-06-15,2019-06-15,0,1,0,25000,3,8333.333333333334,1,1,キスマイフットツー
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-07-18,0,1,1,40000,1,40000.0,1,1,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-06-15,2019-06-11,4,1,1,25000,2,12500.0,0,0,キスマイフットツー
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-08-02,2019-07-31,2,1,0,38000,1,38000.0,1,1,ジャニーズJr
Kis-My-Ft2 キスマイフットツー LIVE TOUR 2019 FREE HUGS!,2019-06-16,2019-06-02,14,1,1,20000,2,10000.0,0,0,キスマイフットツー
HAMLET ハムレット,2019-09-09,2019-08-02,38,1,1,26000,2,13000.0,1,1,セクシーゾーン
舞台 マラソン,2019-06-13,2019-06-06,7,1,1,9000,1,9000.0,0,0,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-22,2019-07-21,1,1,1,50000,2,25000.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-19,2019-06-18,31,1,1,19000,2,9500.0,1,1,ジャニーズJr
美 少年 少年忍者 パパママ一番 裸の少年 夏祭り!,2019-07-18,2019-06-08,40,1,1,20000,2,10000.0,0,0,ジャニーズJr
HiHi Jets ７ MEN 侍 パパママ一番 裸の少年 夏祭り!,2019-08-04,2019-08-03,1,1,1,20000,2,10000.0,1,1,ジャニーズJr
映画 パラレルワールド・ラブストーリー 4大都市舞台挨拶,2019-06-10,2019-06-09,1,1,1,20000,1,20000.0,0,0,キスマイフットツー
