collected_at,mean_price,std_price,max_price,min_price
2019-05-16,118574.19047619047,80626.18866914653,400000.0,26500.0
2019-05-17,74416.44424778761,73925.2447671891,400000.0,4500.0
2019-05-18,17780.324,8008.231962852846,35000.0,3500.0
2019-05-19,83045.01746031757,83145.05039066814,400000.0,5500.0
2019-05-20,86910.51724137928,76516.3370674501,350000.0,3750.0
2019-05-21,73198.52196629213,78108.12763350207,300000.0,2750.0
2019-05-22,63111.89232209742,72352.78187244102,300000.0,2625.0
2019-05-23,39739.283768115936,56517.100876325174,300000.0,2000.0
2019-05-24,25244.5317687075,26541.696788557994,190000.0,1500.0
2019-05-25,66841.23119528603,79959.73387455555,390000.0,625.0
2019-05-26,34519.030595238066,40119.43463458077,250000.0,1450.0
2019-05-27,48895.68515884305,47817.92103861174,250000.0,3000.0
2019-05-28,43024.98750624688,36091.54506684834,230000.0,5000.0
2019-05-29,38320.495,25265.038321373373,135000.0,9000.0
2019-05-30,47879.92,38905.061988550115,230000.0,2500.0
2019-05-31,48494.5,48058.29614137055,360000.0,3250.0
2019-06-01,45004.0,75163.21868332704,460000.0,2500.0
2019-06-02,14184.448275862069,10161.758326982406,65000.0,3375.0
2019-06-03,15298.68,11047.595083502389,60500.0,3375.0
2019-06-04,15950.48,12409.134703693851,105000.0,2500.0
2019-06-05,9458.318644067796,9320.074456937178,105000.0,1150.0
2019-06-06,14914.84875,14910.446533707636,100000.0,1200.0
2019-06-07,16668.823624338613,17906.17891793746,150000.0,1750.0
2019-06-08,19889.35753968254,20275.0741086701,166000.0,3500.0
2019-06-09,20759.510080645163,19356.820907727437,150000.0,3000.0
2019-06-10,21006.835052083316,19926.12870068069,188888.0,2500.0
2019-06-11,21511.405166666646,16753.167335706745,188888.0,6000.0
2019-06-12,21732.680166666647,16598.19464945007,188888.0,6000.0
2019-06-13,20287.812595628395,15995.415589663193,188888.0,6000.0
2019-06-14,20100.44261111109,15718.667303169708,188888.0,6000.0
2019-06-15,19079.684277777767,13226.906635043468,188888.0,3750.0
2019-06-16,12633.375388888891,14706.650719416533,188888.0,3250.0
2019-06-17,15336.336158192074,23514.449061103845,250000.0,2000.0
2019-06-18,15258.750517241378,22180.738189081,250000.0,2000.0
2019-06-19,15935.41597222224,22416.87862177277,250000.0,3500.0
2019-06-20,16631.27161202188,23161.48892765056,250000.0,3500.0
2019-06-21,16918.54169354841,22512.22597431501,250000.0,3500.0
2019-06-22,16823.8800793651,22670.105287055794,250000.0,3500.0
2019-06-23,20054.610621468906,23892.03422249828,250000.0,4200.0
2019-06-24,20031.30820512817,25161.43316728348,250000.0,4200.0
2019-06-25,19712.458461538426,23738.00475450474,250000.0,4200.0
2019-06-26,19876.439230769156,24543.13967808954,250000.0,4200.0
2019-06-27,20322.025769230688,24597.90157783652,250000.0,4750.0
2019-06-28,19798.681257861594,22362.857574832546,250000.0,4750.0
2019-06-29,18689.739722222203,13277.891142678365,115000.0,4250.0
2019-06-30,16956.73,12857.717966244169,105000.0,3500.0
2019-07-01,19433.60231182794,16221.851315514436,168000.0,3500.0
2019-07-02,19669.749869791653,14499.923609906076,115000.0,3250.0
2019-07-03,19519.208203125003,14911.294584826019,130000.0,3250.0
2019-07-04,18761.685461538465,14508.768956076425,130000.0,3250.0
2019-07-05,18805.773484848487,14146.135125605742,130000.0,3250.0
2019-07-06,18649.032794117684,14624.677632718534,130000.0,4750.0
2019-07-07,17600.839857142873,14146.490390564584,130000.0,4750.0
2019-07-08,21885.607286821763,32921.96629253569,320000.0,3000.0
2019-07-10,28317.037475728062,47128.198872268506,300000.0,3000.0
2019-07-11,30086.738181818182,58662.16945698356,380000.0,3000.0
2019-07-12,27930.736949152542,55603.82566623033,380000.0,3250.0
2019-07-13,26144.05221238938,52483.904562557655,380000.0,3750.0
2019-07-14,23051.21693693694,31874.103456194985,270000.0,3300.0
2019-07-15,18125.447087378645,32391.693176423625,290000.0,3500.0
2019-07-16,20522.219333333334,32099.715428680465,290000.0,2500.0
2019-07-17,18845.887943925238,20008.708382646488,150000.0,2500.0
2019-07-18,17374.280467289722,15918.552614840646,130000.0,3600.0
2019-07-19,32906.56074766355,37367.892881840686,225000.0,2000.0
2019-07-20,27420.92092592592,30088.227394561047,175000.0,4000.0
2019-07-21,21493.19311320755,18079.071656097807,150000.0,4500.0
2019-07-22,29220.323809523805,41602.157205220305,298000.0,4600.0
2019-07-23,26131.72838095238,33811.957835215806,275000.0,4500.0
2019-07-24,24640.86869158879,20815.62755673358,150000.0,4000.0
2019-07-25,29023.291603773578,26696.82345466286,200000.0,5000.0
2019-07-28,47312.33637254902,56623.30335439603,365000.0,6500.0
2019-07-29,54994.72542483652,69119.24337222062,365000.0,7500.0
2019-07-30,42793.70668269231,45309.18721922492,360000.0,9750.0
2019-07-31,49301.63658415842,64999.40151937333,390000.0,9750.0
2019-08-01,46299.33530303035,31915.929742853772,190000.0,9750.0
2019-08-02,50485.51244791667,66040.77261546803,550000.0,1450.0
2019-08-03,27154.5277838828,34399.05947906939,240000.0,1450.0
2019-08-04,37770.029574468084,44260.313951175034,385000.0,4000.0
2019-08-05,29628.755913978493,32261.618943954592,300000.0,4000.0
2019-08-07,20651.34016666665,17817.26234427596,180000.0,2500.0
2019-08-08,19304.659773462758,16418.817913764997,170000.0,5000.0
2019-08-10,30977.043205128204,47611.39239476976,400000.0,3000.0
2019-08-11,37219.33894736842,43292.41870056117,360000.0,6000.0
