,name,date,collected_at,left_days,is_jannies,available,price_per_deal,unit,price_per_unit,after,after_and_js_jannies,artistname,age,is_free_market
0,新・BS日本のうた,2019-07-05,2019-06-22,13,1,1,3200,1,3200.0,1,1,細川たかし,25,1
1,新・BS日本のうた,2019-07-05,2019-06-22,13,1,1,3500,1,3500.0,1,1,細川たかし,25,1
2,新・BS日本のうた,2019-07-05,2019-06-22,13,1,0,3000,1,3000.0,1,1,細川たかし,25,1
3,新・BS日本のうた,2019-07-05,2019-06-22,13,1,1,3300,1,3300.0,1,1,細川たかし,25,1
4,新・BS日本のうた,2019-07-05,2019-06-22,13,1,1,3980,1,3980.0,1,1,細川たかし,25,1
5,新・BS日本のうた,2019-07-05,2019-06-22,13,1,0,5000,1,5000.0,1,1,細川たかし,25,1
6,新・BS日本のうた,2019-07-05,2019-06-22,13,1,0,2800,1,2800.0,1,1,細川たかし,25,1
7,新・BS日本のうた,2019-07-05,2019-06-22,13,1,0,2800,1,2800.0,1,1,細川たかし,25,1
8,新・BS日本のうた,2019-07-05,2019-06-22,13,1,0,3000,1,3000.0,1,1,細川たかし,25,1
9,JASRAC創立80周年記念 こころの歌人たちスペシャル 歌よ未来へ,2019-05-06,2019-04-23,4,1,1,9000,2,4500.0,1,1,氷川きよし,25,1
10,JASRAC創立80周年記念 こころの歌人たちスペシャル 歌よ未来へ,2019-05-06,2019-04-23,4,1,0,9000,2,4500.0,1,1,氷川きよし,25,1
11,JASRAC創立80周年記念 こころの歌人たちスペシャル 歌よ未来へ,2019-05-06,2019-04-23,4,1,1,17000,1,17000.0,1,1,氷川きよし,25,1
12,氷川きよしコンサートツアー2019 20周年大感謝祭！！,2019-05-06,2019-04-23,9,1,1,9000,2,4500.0,1,1,氷川きよし,25,1
13,氷川きよしコンサートツアー2019 20周年大感謝祭！！,2019-05-06,2019-04-23,9,1,1,15000,1,15000.0,1,1,氷川きよし,25,1
14,氷川きよしコンサートツアー2019 20周年大感謝祭！！,2019-05-06,2019-04-23,9,1,1,13000,1,13000.0,1,1,氷川きよし,25,1
15,氷川きよしコンサートツアー2019 20周年大感謝祭！！,2019-05-06,2019-04-23,9,1,1,14500,2,7250.0,1,1,氷川きよし,25,1
16,氷川きよしコンサートツアー2019 20周年大感謝祭！！,2019-05-06,2019-04-23,9,1,1,17000,1,17000.0,1,1,氷川きよし,25,1
17,氷川きよしコンサートツアー2019 20周年大感謝祭！！,2019-05-06,2019-04-23,9,1,0,23000,1,23000.0,1,1,氷川きよし,25,1
18,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,13,1,1,13000,2,6500.0,1,1,氷川きよし,25,1
19,新・BS日本のうた,,,13,1,1,3200,1,3200.0,1,1,氷川きよし,25,1
20,新・BS日本のうた,,,13,1,1,3500,1,3500.0,1,1,氷川きよし,25,1
21,新・BS日本のうた,,,13,1,0,3000,1,3000.0,1,1,氷川きよし,25,1
22,新・BS日本のうた,,,13,1,1,3300,1,3300.0,1,1,氷川きよし,25,1
23,新・BS日本のうた,,,13,1,1,3980,1,3980.0,1,1,氷川きよし,25,1
24,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,23,1,1,8500,2,4250.0,1,1,氷川きよし,25,1
25,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,,,27,1,1,5000,1,5000.0,1,1,氷川きよし,25,1
26,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,,,27,1,1,5000,1,5000.0,1,1,氷川きよし,25,1
27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,,,27,1,1,7000,2,3500.0,1,1,氷川きよし,25,1
28,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,,,27,1,1,8500,1,8500.0,1,1,氷川きよし,25,1
29,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,,,27,1,1,32000,1,32000.0,1,1,氷川きよし,25,1
30,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,29,1,1,8500,1,8500.0,1,1,氷川きよし,25,1
31,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,33,1,1,8500,1,8500.0,1,1,氷川きよし,25,1
32,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,33,1,1,9000,2,4500.0,1,1,氷川きよし,25,1
33,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,33,1,1,8500,1,8500.0,1,1,氷川きよし,25,1
34,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,33,1,1,8500,1,8500.0,1,1,氷川きよし,25,1
35,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,33,1,1,9000,2,4500.0,1,1,氷川きよし,25,1
36,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,33,1,1,9000,2,4500.0,1,1,氷川きよし,25,1
37,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,39,1,1,16800,1,16800.0,1,1,氷川きよし,25,1
38,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,39,1,1,35000,2,17500.0,1,1,氷川きよし,25,1
39,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,46,1,1,10000,2,5000.0,1,1,氷川きよし,25,1
40,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,46,1,1,6800,1,6800.0,1,1,氷川きよし,25,1
41,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,46,1,1,11000,2,5500.0,1,1,氷川きよし,25,1
42,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,46,1,1,12000,1,12000.0,1,1,氷川きよし,25,1
43,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,48,1,1,10500,2,5250.0,1,1,氷川きよし,25,1
44,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,48,1,1,11000,2,5500.0,1,1,氷川きよし,25,1
45,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,48,1,1,13000,2,6500.0,1,1,氷川きよし,25,1
46,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,55,1,1,30000,2,15000.0,1,1,氷川きよし,25,1
47,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,60,1,1,10500,1,10500.0,1,1,氷川きよし,25,1
48,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,60,1,1,8000,2,4000.0,1,1,氷川きよし,25,1
49,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,60,1,1,20000,1,20000.0,1,1,氷川きよし,25,1
50,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,60,1,1,25000,1,25000.0,1,1,氷川きよし,25,1
51,もっと四国音楽祭2019,,,0,1,0,2000,1,2000.0,1,1,氷川きよし,25,1
52,もっと四国音楽祭2019,,,0,1,0,2000,1,2000.0,1,1,氷川きよし,25,1
53,もっと四国音楽祭2019,,,0,1,0,2000,1,2000.0,1,1,氷川きよし,25,1
54,もっと四国音楽祭2019,,,0,1,0,2000,1,2000.0,1,1,氷川きよし,25,1
55,もっと四国音楽祭2019,,,0,1,0,2300,1,2300.0,1,1,氷川きよし,25,1
56,もっと四国音楽祭2019,,,0,1,0,2300,1,2300.0,1,1,氷川きよし,25,1
57,もっと四国音楽祭2019,,,0,1,0,3000,1,3000.0,1,1,氷川きよし,25,1
58,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,9,1,0,6000,2,3000.0,1,1,氷川きよし,25,1
59,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,9,1,0,9000,1,9000.0,1,1,氷川きよし,25,1
60,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,9,1,0,10000,1,10000.0,1,1,氷川きよし,25,1
61,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,9,1,0,10000,2,5000.0,1,1,氷川きよし,25,1
62,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,9,1,0,12000,2,6000.0,1,1,氷川きよし,25,1
63,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,9,1,0,18000,1,18000.0,1,1,氷川きよし,25,1
64,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,9,1,0,18000,1,18000.0,1,1,氷川きよし,25,1
65,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,13,1,0,8500,1,8500.0,1,1,氷川きよし,25,1
66,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,13,1,0,8500,2,4250.0,1,1,氷川きよし,25,1
67,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,13,1,0,8500,2,4250.0,1,1,氷川きよし,25,1
68,新・BS日本のうた,,,13,1,0,5000,1,5000.0,1,1,氷川きよし,25,1
69,新・BS日本のうた,,,13,1,0,2800,1,2800.0,1,1,氷川きよし,25,1
70,新・BS日本のうた,,,13,1,0,2800,1,2800.0,1,1,氷川きよし,25,1
71,新・BS日本のうた,,,13,1,0,3000,1,3000.0,1,1,氷川きよし,25,1
72,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,23,1,0,10000,1,10000.0,1,1,氷川きよし,25,1
73,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,23,1,0,13000,2,6500.0,1,1,氷川きよし,25,1
74,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,23,1,0,7500,1,7500.0,1,1,氷川きよし,25,1
75,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,23,1,0,7500,2,3750.0,1,1,氷川きよし,25,1
76,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,23,1,0,9800,1,9800.0,1,1,氷川きよし,25,1
77,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,23,1,0,9800,2,4900.0,1,1,氷川きよし,25,1
78,氷川きよしコンサートツアー2019 20周年大感謝祭！！,,,23,1,0,13500,1,13500.0,1,1,氷川きよし,25,1
79,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,,,27,1,0,5000,2,2500.0,1,1,氷川きよし,25,1
80,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,,,27,1,0,5000,1,5000.0,1,1,氷川きよし,25,1
