name,collected_at,left_days,price_per_unit,is_jannies,after,after_and_is_jannies
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-26,1,42547.05882352941,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-26,2,55521.09375,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-26,3,22986.666666666668,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-27,0,44194.117647058825,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-27,1,64355.882352941175,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-27,2,50796.969696969696,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-27,3,18206.25,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-28,0,53270.967741935485,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-28,1,50033.333333333336,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-28,2,29538.46153846154,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-29,0,48015.15151515151,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-29,1,38000.0,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-29,2,26061.98,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-30,1,44930.03095975232,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-30,2,59575.757575757576,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-30,3,58725.152905198775,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-31,0,44260.0,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-31,1,60897.5,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-31,2,52363.15789473684,1,0,0
7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-01,1,91443.18181818182,1,0,0
HAMLET ハムレット,2019-06-07,93,79840.90909090909,1,0,0
HAMLET ハムレット,2019-06-07,94,57750.0,1,0,0
HAMLET ハムレット,2019-06-07,95,47000.0,1,0,0
HAMLET ハムレット,2019-06-07,96,38750.0,1,0,0
HAMLET ハムレット,2019-06-07,98,37500.0,1,0,0
HAMLET ハムレット,2019-06-07,99,49250.0,1,0,0
HAMLET ハムレット,2019-06-07,101,38500.0,1,0,0
HAMLET ハムレット,2019-06-07,102,43500.0,1,0,0
HAMLET ハムレット,2019-06-07,103,39166.666666666664,1,0,0
HAMLET ハムレット,2019-06-07,105,44000.0,1,0,0
HAMLET ハムレット,2019-06-07,106,37500.0,1,0,0
HAMLET ハムレット,2019-06-07,109,33700.0,1,0,0
HAMLET ハムレット,2019-06-07,110,62500.0,1,0,0
HAMLET ハムレット,2019-06-07,112,50000.0,1,0,0
HAMLET ハムレット,2019-06-07,113,27666.666666666668,1,0,0
HAMLET ハムレット,2019-06-07,114,30000.0,1,0,0
HAMLET ハムレット,2019-06-07,115,28750.0,1,0,0
HAMLET ハムレット,2019-06-07,116,35222.22222222222,1,0,0
HAMLET ハムレット,2019-06-07,117,49750.0,1,0,0
HAMLET ハムレット,2019-06-07,119,23781.25,1,0,0
HAMLET ハムレット,2019-06-07,120,34071.42857142857,1,0,0
HAMLET ハムレット,2019-06-07,121,50166.666666666664,1,0,0
HAMLET ハムレット,2019-06-07,124,60000.0,1,0,0
HAMLET ハムレット,2019-06-07,126,47000.0,1,0,0
HAMLET ハムレット,2019-06-07,127,48500.0,1,0,0
HAMLET ハムレット,2019-06-07,128,41666.333333333336,1,0,0
HAMLET ハムレット,2019-06-08,92,72568.18181818182,1,0,0
HAMLET ハムレット,2019-06-08,93,48250.0,1,0,0
HAMLET ハムレット,2019-06-08,94,47250.0,1,0,0
HAMLET ハムレット,2019-06-08,95,38750.0,1,0,0
HAMLET ハムレット,2019-06-08,97,48000.0,1,0,0
HAMLET ハムレット,2019-06-08,98,43875.0,1,0,0
HAMLET ハムレット,2019-06-08,100,35600.0,1,0,0
HAMLET ハムレット,2019-06-08,101,43500.0,1,0,0
HAMLET ハムレット,2019-06-08,102,37500.0,1,0,0
HAMLET ハムレット,2019-06-08,104,50500.0,1,0,0
HAMLET ハムレット,2019-06-08,105,36666.666666666664,1,0,0
HAMLET ハムレット,2019-06-08,108,33700.0,1,0,0
HAMLET ハムレット,2019-06-08,109,59333.333333333336,1,0,0
HAMLET ハムレット,2019-06-08,111,50000.0,1,0,0
HAMLET ハムレット,2019-06-08,112,26375.0,1,0,0
HAMLET ハムレット,2019-06-08,113,35000.0,1,0,0
HAMLET ハムレット,2019-06-08,114,27500.0,1,0,0
HAMLET ハムレット,2019-06-08,115,35222.22222222222,1,0,0
HAMLET ハムレット,2019-06-08,116,49750.0,1,0,0
HAMLET ハムレット,2019-06-08,118,24861.11111111111,1,0,0
HAMLET ハムレット,2019-06-08,119,34071.42857142857,1,0,0
HAMLET ハムレット,2019-06-08,120,54062.5,1,0,0
HAMLET ハムレット,2019-06-08,123,24750.0,1,0,0
HAMLET ハムレット,2019-06-09,91,72825.0,1,0,0
HAMLET ハムレット,2019-06-09,92,42750.0,1,0,0
HAMLET ハムレット,2019-06-09,93,45000.0,1,0,0
HAMLET ハムレット,2019-06-09,94,38750.0,1,0,0
HAMLET ハムレット,2019-06-09,96,48000.0,1,0,0
HAMLET ハムレット,2019-06-09,97,43000.0,1,0,0
HAMLET ハムレット,2019-06-09,99,35200.0,1,0,0
HAMLET ハムレット,2019-06-09,100,43500.0,1,0,0
HAMLET ハムレット,2019-06-09,101,37500.0,1,0,0
HAMLET ハムレット,2019-06-09,103,45000.0,1,0,0
HAMLET ハムレット,2019-06-09,104,35625.0,1,0,0
HAMLET ハムレット,2019-06-09,107,33700.0,1,0,0
HAMLET ハムレット,2019-06-09,108,47666.666666666664,1,0,0
HAMLET ハムレット,2019-06-09,110,50000.0,1,0,0
HAMLET ハムレット,2019-06-09,111,29500.0,1,0,0
HAMLET ハムレット,2019-06-09,112,35000.0,1,0,0
HAMLET ハムレット,2019-06-09,113,27500.0,1,0,0
