,name,date,collected_at,left_days,artistname,price_per_unit,is_jannies,after,after_and_is_jannies,age
0,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-27,2019-05-26,1,ジャニーズJr,42547.05882352941,1,0,0,22.3
1,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-27,2019-05-27,0,ジャニーズJr,44194.117647058825,1,0,0,22.3
2,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-28,2019-05-26,2,ジャニーズJr,55521.09375,1,0,0,22.3
3,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-28,2019-05-27,1,ジャニーズJr,64355.882352941175,1,0,0,22.3
4,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-28,2019-05-28,0,ジャニーズJr,53270.967741935485,1,0,0,22.3
5,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-29,2019-05-26,3,ジャニーズJr,22986.666666666668,1,0,0,22.3
6,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-29,2019-05-27,2,ジャニーズJr,50796.969696969696,1,0,0,22.3
7,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-29,2019-05-28,1,ジャニーズJr,50033.333333333336,1,0,0,22.3
8,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-29,2019-05-29,0,ジャニーズJr,48015.15151515151,1,0,0,22.3
9,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-30,2019-05-27,3,ジャニーズJr,18206.25,1,0,0,22.3
10,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-30,2019-05-28,2,ジャニーズJr,29538.46153846154,1,0,0,22.3
11,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-30,2019-05-29,1,ジャニーズJr,38000.0,1,0,0,22.3
12,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-31,2019-05-29,2,ジャニーズJr,26061.98,1,0,0,22.3
13,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-31,2019-05-30,1,ジャニーズJr,44930.03095975232,1,0,0,22.3
14,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-05-31,2019-05-31,0,ジャニーズJr,44260.0,1,0,0,22.3
15,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-01,2019-05-30,2,ジャニーズJr,59575.757575757576,1,0,0,22.3
16,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-01,2019-05-31,1,ジャニーズJr,60897.5,1,0,0,22.3
17,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-05-30,3,ジャニーズJr,58725.152905198775,1,0,0,22.3
18,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-05-31,2,ジャニーズJr,52363.15789473684,1,0,0,22.3
19,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,2019-06-02,2019-06-01,1,ジャニーズJr,91443.18181818182,1,0,0,22.3
20,HAMLET ハムレット,2019-09-08,2019-06-07,93,セクシーゾーン,79840.90909090909,1,0,0,22.2
21,HAMLET ハムレット,2019-09-08,2019-06-08,92,セクシーゾーン,72568.18181818182,1,0,0,22.2
22,HAMLET ハムレット,2019-09-08,2019-06-09,91,セクシーゾーン,72825.0,1,0,0,22.2
23,HAMLET ハムレット,2019-09-08,2019-06-10,90,セクシーゾーン,73138.88888888889,1,0,0,22.2
24,HAMLET ハムレット,2019-09-08,2019-06-11,89,セクシーゾーン,73906.25,1,0,0,22.2
25,HAMLET ハムレット,2019-09-08,2019-06-12,88,セクシーゾーン,73906.25,1,0,0,22.2
26,HAMLET ハムレット,2019-09-08,2019-06-13,87,セクシーゾーン,69194.44444444444,1,0,0,22.2
27,HAMLET ハムレット,2019-09-08,2019-06-14,86,セクシーゾーン,64458.333333333336,1,1,1,22.2
28,HAMLET ハムレット,2019-09-08,2019-06-15,85,セクシーゾーン,65541.66666666667,1,1,1,22.2
29,HAMLET ハムレット,2019-09-08,2019-06-16,84,セクシーゾーン,59464.28571428572,1,1,1,22.2
30,HAMLET ハムレット,2019-09-08,2019-06-17,83,セクシーゾーン,63281.25,1,1,1,22.2
31,HAMLET ハムレット,2019-09-08,2019-06-18,82,セクシーゾーン,63142.25,1,1,1,22.2
32,HAMLET ハムレット,2019-09-08,2019-06-19,81,セクシーゾーン,60793.11111111111,1,1,1,22.2
33,HAMLET ハムレット,2019-09-08,2019-06-20,80,セクシーゾーン,60793.11111111111,1,1,1,22.2
34,HAMLET ハムレット,2019-09-08,2019-06-21,79,セクシーゾーン,60793.11111111111,1,1,1,22.2
35,HAMLET ハムレット,2019-09-08,2019-06-22,78,セクシーゾーン,63017.25,1,1,1,22.2
36,HAMLET ハムレット,2019-09-08,2019-06-23,77,セクシーゾーン,63017.25,1,1,1,22.2
37,HAMLET ハムレット,2019-09-08,2019-06-24,76,セクシーゾーン,63017.25,1,1,1,22.2
38,HAMLET ハムレット,2019-09-08,2019-06-25,75,セクシーゾーン,58972.22222222222,1,1,1,22.2
39,HAMLET ハムレット,2019-09-08,2019-06-26,74,セクシーゾーン,60343.75,1,1,1,22.2
40,HAMLET ハムレット,2019-09-08,2019-06-27,73,セクシーゾーン,60343.75,1,1,1,22.2
41,HAMLET ハムレット,2019-09-08,2019-06-28,72,セクシーゾーン,60343.75,1,1,1,22.2
42,HAMLET ハムレット,2019-09-08,2019-06-29,71,セクシーゾーン,60156.25,1,1,1,22.2
43,HAMLET ハムレット,2019-09-08,2019-07-01,69,セクシーゾーン,58472.22222222222,1,1,1,22.2
44,HAMLET ハムレット,2019-09-08,2019-07-02,68,セクシーゾーン,58416.666666666664,1,1,1,22.2
45,HAMLET ハムレット,2019-09-08,2019-07-03,67,セクシーゾーン,65575.0,1,1,1,22.2
46,HAMLET ハムレット,2019-09-08,2019-07-04,66,セクシーゾーン,73531.25,1,1,1,22.2
47,HAMLET ハムレット,2019-09-08,2019-07-05,65,セクシーゾーン,71178.57142857143,1,1,1,22.2
48,HAMLET ハムレット,2019-09-08,2019-07-06,64,セクシーゾーン,71178.57142857143,1,1,1,22.2
49,HAMLET ハムレット,2019-09-08,2019-07-07,63,セクシーゾーン,71178.57142857143,1,1,1,22.2
50,HAMLET ハムレット,2019-09-08,2019-07-08,62,セクシーゾーン,71178.57142857143,1,1,1,22.2
51,HAMLET ハムレット,2019-09-08,2019-07-10,60,セクシーゾーン,70821.42857142857,1,1,1,22.2
52,HAMLET ハムレット,2019-09-08,2019-07-11,59,セクシーゾーン,70821.42857142857,1,1,1,22.2
53,HAMLET ハムレット,2019-09-08,2019-07-12,58,セクシーゾーン,70821.42857142857,1,1,1,22.2
54,HAMLET ハムレット,2019-09-08,2019-07-13,57,セクシーゾーン,70107.14285714286,1,1,1,22.2
55,HAMLET ハムレット,2019-09-08,2019-07-14,56,セクシーゾーン,73958.33333333333,1,1,1,22.2
56,HAMLET ハムレット,2019-09-08,2019-07-15,55,セクシーゾーン,73958.33333333333,1,1,1,22.2
57,HAMLET ハムレット,2019-09-08,2019-07-16,54,セクシーゾーン,73958.33333333333,1,1,1,22.2
58,HAMLET ハムレット,2019-09-08,2019-07-17,53,セクシーゾーン,73958.33333333333,1,1,1,22.2
59,HAMLET ハムレット,2019-09-08,2019-07-18,52,セクシーゾーン,73958.33333333333,1,1,1,22.2
60,HAMLET ハムレット,2019-09-08,2019-07-19,51,セクシーゾーン,75750.0,1,1,1,22.2
61,HAMLET ハムレット,2019-09-08,2019-07-20,50,セクシーゾーン,75750.0,1,1,1,22.2
62,HAMLET ハムレット,2019-09-08,2019-07-21,49,セクシーゾーン,82750.0,1,1,1,22.2
63,HAMLET ハムレット,2019-09-08,2019-07-22,48,セクシーゾーン,82291.66666666667,1,1,1,22.2
64,HAMLET ハムレット,2019-09-08,2019-07-23,47,セクシーゾーン,80291.66666666667,1,1,1,22.2
65,HAMLET ハムレット,2019-09-08,2019-07-24,46,セクシーゾーン,80291.66666666667,1,1,1,22.2
66,HAMLET ハムレット,2019-09-08,2019-07-25,45,セクシーゾーン,80125.0,1,1,1,22.2
67,HAMLET ハムレット,2019-09-08,2019-07-28,42,セクシーゾーン,47586.53846153846,1,1,1,22.2
68,HAMLET ハムレット,2019-09-08,2019-07-29,41,セクシーゾーン,48190.47619047619,1,1,1,22.2
69,HAMLET ハムレット,2019-09-08,2019-07-30,40,セクシーゾーン,47833.333333333336,1,1,1,22.2
70,HAMLET ハムレット,2019-09-08,2019-07-31,39,セクシーゾーン,46571.42857142857,1,1,1,22.2
71,HAMLET ハムレット,2019-09-08,2019-08-01,38,セクシーゾーン,45616.666666666664,1,1,1,22.2
72,HAMLET ハムレット,2019-09-08,2019-08-02,37,セクシーゾーン,45410.71428571428,1,1,1,22.2
73,HAMLET ハムレット,2019-09-08,2019-08-03,36,セクシーゾーン,54326.92307692308,1,1,1,22.2
74,HAMLET ハムレット,2019-09-08,2019-08-04,35,セクシーゾーン,55596.153846153844,1,1,1,22.2
75,HAMLET ハムレット,2019-09-08,2019-08-05,34,セクシーゾーン,58770.833333333336,1,1,1,22.2
76,HAMLET ハムレット,2019-09-08,2019-08-07,32,セクシーゾーン,61729.166666666664,1,1,1,22.2
77,HAMLET ハムレット,2019-09-08,2019-08-08,31,セクシーゾーン,61729.166666666664,1,1,1,22.2
78,HAMLET ハムレット,2019-09-08,2019-08-10,29,セクシーゾーン,65883.33333333333,1,1,1,22.2
79,HAMLET ハムレット,2019-09-08,2019-08-11,28,セクシーゾーン,97250.0,1,1,1,22.2
80,HAMLET ハムレット,2019-09-09,2019-06-07,94,セクシーゾーン,57750.0,1,0,0,22.2
81,HAMLET ハムレット,2019-09-09,2019-06-08,93,セクシーゾーン,48250.0,1,0,0,22.2
82,HAMLET ハムレット,2019-09-09,2019-06-09,92,セクシーゾーン,42750.0,1,0,0,22.2
83,HAMLET ハムレット,2019-09-09,2019-06-10,91,セクシーゾーン,42800.0,1,0,0,22.2
84,HAMLET ハムレット,2019-09-09,2019-06-11,90,セクシーゾーン,49400.0,1,0,0,22.2
85,HAMLET ハムレット,2019-09-09,2019-06-12,89,セクシーゾーン,51750.0,1,0,0,22.2
86,HAMLET ハムレット,2019-09-09,2019-06-13,88,セクシーゾーン,56000.0,1,0,0,22.2
87,HAMLET ハムレット,2019-09-09,2019-06-14,87,セクシーゾーン,56000.0,1,1,1,22.2
88,HAMLET ハムレット,2019-09-09,2019-06-15,86,セクシーゾーン,56000.0,1,1,1,22.2
89,HAMLET ハムレット,2019-09-09,2019-06-16,85,セクシーゾーン,60000.0,1,1,1,22.2
90,HAMLET ハムレット,2019-09-09,2019-06-17,84,セクシーゾーン,60000.0,1,1,1,22.2
91,HAMLET ハムレット,2019-09-09,2019-06-18,83,セクシーゾーン,60000.0,1,1,1,22.2
92,HAMLET ハムレット,2019-09-09,2019-06-19,82,セクシーゾーン,60000.0,1,1,1,22.2
93,HAMLET ハムレット,2019-09-09,2019-06-20,81,セクシーゾーン,60000.0,1,1,1,22.2
94,HAMLET ハムレット,2019-09-09,2019-06-21,80,セクシーゾーン,60000.0,1,1,1,22.2
95,HAMLET ハムレット,2019-09-09,2019-06-22,79,セクシーゾーン,60000.0,1,1,1,22.2
96,HAMLET ハムレット,2019-09-09,2019-06-23,78,セクシーゾーン,60000.0,1,1,1,22.2
97,HAMLET ハムレット,2019-09-09,2019-06-24,77,セクシーゾーン,60000.0,1,1,1,22.2
98,HAMLET ハムレット,2019-09-09,2019-06-25,76,セクシーゾーン,40000.0,1,1,1,22.2
99,HAMLET ハムレット,2019-09-09,2019-06-26,75,セクシーゾーン,40000.0,1,1,1,22.2
100,HAMLET ハムレット,2019-09-09,2019-06-27,74,セクシーゾーン,40000.0,1,1,1,22.2
101,HAMLET ハムレット,2019-09-09,2019-06-28,73,セクシーゾーン,40000.0,1,1,1,22.2
102,HAMLET ハムレット,2019-09-09,2019-06-29,72,セクシーゾーン,40000.0,1,1,1,22.2
103,HAMLET ハムレット,2019-09-09,2019-07-01,70,セクシーゾーン,40000.0,1,1,1,22.2
104,HAMLET ハムレット,2019-09-09,2019-07-02,69,セクシーゾーン,40000.0,1,1,1,22.2
105,HAMLET ハムレット,2019-09-09,2019-07-03,68,セクシーゾーン,40000.0,1,1,1,22.2
106,HAMLET ハムレット,2019-09-09,2019-07-04,67,セクシーゾーン,40000.0,1,1,1,22.2
107,HAMLET ハムレット,2019-09-09,2019-07-05,66,セクシーゾーン,40000.0,1,1,1,22.2
108,HAMLET ハムレット,2019-09-09,2019-07-06,65,セクシーゾーン,40000.0,1,1,1,22.2
109,HAMLET ハムレット,2019-09-09,2019-07-07,64,セクシーゾーン,40000.0,1,1,1,22.2
110,HAMLET ハムレット,2019-09-09,2019-07-08,63,セクシーゾーン,30000.0,1,1,1,22.2
111,HAMLET ハムレット,2019-09-09,2019-07-10,61,セクシーゾーン,30000.0,1,1,1,22.2
112,HAMLET ハムレット,2019-09-09,2019-07-11,60,セクシーゾーン,30000.0,1,1,1,22.2
113,HAMLET ハムレット,2019-09-09,2019-07-12,59,セクシーゾーン,35000.0,1,1,1,22.2
114,HAMLET ハムレット,2019-09-09,2019-07-13,58,セクシーゾーン,35000.0,1,1,1,22.2
115,HAMLET ハムレット,2019-09-09,2019-07-14,57,セクシーゾーン,35000.0,1,1,1,22.2
116,HAMLET ハムレット,2019-09-09,2019-07-15,56,セクシーゾーン,35000.0,1,1,1,22.2
117,HAMLET ハムレット,2019-09-09,2019-07-16,55,セクシーゾーン,40000.0,1,1,1,22.2
118,HAMLET ハムレット,2019-09-09,2019-07-17,54,セクシーゾーン,40000.0,1,1,1,22.2
119,HAMLET ハムレット,2019-09-09,2019-07-18,53,セクシーゾーン,40000.0,1,1,1,22.2
120,HAMLET ハムレット,2019-09-09,2019-07-19,52,セクシーゾーン,40000.0,1,1,1,22.2
121,HAMLET ハムレット,2019-09-09,2019-07-20,51,セクシーゾーン,40000.0,1,1,1,22.2
122,HAMLET ハムレット,2019-09-09,2019-07-21,50,セクシーゾーン,40000.0,1,1,1,22.2
123,HAMLET ハムレット,2019-09-09,2019-07-22,49,セクシーゾーン,40000.0,1,1,1,22.2
124,HAMLET ハムレット,2019-09-09,2019-07-23,48,セクシーゾーン,40000.0,1,1,1,22.2
125,HAMLET ハムレット,2019-09-09,2019-07-24,47,セクシーゾーン,40000.0,1,1,1,22.2
126,HAMLET ハムレット,2019-09-09,2019-07-25,46,セクシーゾーン,40000.0,1,1,1,22.2
127,HAMLET ハムレット,2019-09-09,2019-07-28,43,セクシーゾーン,25642.85714285714,1,1,1,22.2
128,HAMLET ハムレット,2019-09-09,2019-07-29,42,セクシーゾーン,30400.0,1,1,1,22.2
129,HAMLET ハムレット,2019-09-09,2019-07-30,41,セクシーゾーン,28700.0,1,1,1,22.2
130,HAMLET ハムレット,2019-09-09,2019-07-31,40,セクシーゾーン,25916.666666666668,1,1,1,22.2
131,HAMLET ハムレット,2019-09-09,2019-08-01,39,セクシーゾーン,25900.0,1,1,1,22.2
132,HAMLET ハムレット,2019-09-09,2019-08-02,38,セクシーゾーン,25900.0,1,1,1,22.2
133,HAMLET ハムレット,2019-09-09,2019-08-03,37,セクシーゾーン,25700.0,1,1,1,22.2
134,HAMLET ハムレット,2019-09-09,2019-08-04,36,セクシーゾーン,26250.0,1,1,1,22.2
135,HAMLET ハムレット,2019-09-09,2019-08-05,35,セクシーゾーン,26250.0,1,1,1,22.2
136,HAMLET ハムレット,2019-09-09,2019-08-07,33,セクシーゾーン,26333.333333333332,1,1,1,22.2
137,HAMLET ハムレット,2019-09-09,2019-08-08,32,セクシーゾーン,26333.333333333332,1,1,1,22.2
138,HAMLET ハムレット,2019-09-09,2019-08-10,30,セクシーゾーン,29100.0,1,1,1,22.2
139,HAMLET ハムレット,2019-09-09,2019-08-11,29,セクシーゾーン,33000.0,1,1,1,22.2
140,HAMLET ハムレット,2019-09-10,2019-06-07,95,セクシーゾーン,47000.0,1,0,0,22.2
141,HAMLET ハムレット,2019-09-10,2019-06-08,94,セクシーゾーン,47250.0,1,0,0,22.2
142,HAMLET ハムレット,2019-09-10,2019-06-09,93,セクシーゾーン,45000.0,1,0,0,22.2
143,HAMLET ハムレット,2019-09-10,2019-06-10,92,セクシーゾーン,45166.666666666664,1,0,0,22.2
144,HAMLET ハムレット,2019-09-10,2019-06-11,91,セクシーゾーン,41428.57142857143,1,0,0,22.2
145,HAMLET ハムレット,2019-09-10,2019-06-12,90,セクシーゾーン,45000.0,1,0,0,22.2
146,HAMLET ハムレット,2019-09-10,2019-06-13,89,セクシーゾーン,46200.0,1,0,0,22.2
147,HAMLET ハムレット,2019-09-10,2019-06-14,88,セクシーゾーン,45900.0,1,1,1,22.2
148,HAMLET ハムレット,2019-09-10,2019-06-15,87,セクシーゾーン,37000.0,1,1,1,22.2
149,HAMLET ハムレット,2019-09-10,2019-06-16,86,セクシーゾーン,35333.333333333336,1,1,1,22.2
150,HAMLET ハムレット,2019-09-10,2019-06-17,85,セクシーゾーン,35333.333333333336,1,1,1,22.2
151,HAMLET ハムレット,2019-09-10,2019-06-18,84,セクシーゾーン,36500.0,1,1,1,22.2
152,HAMLET ハムレット,2019-09-10,2019-06-19,83,セクシーゾーン,36500.0,1,1,1,22.2
153,HAMLET ハムレット,2019-09-10,2019-06-20,82,セクシーゾーン,37000.0,1,1,1,22.2
154,HAMLET ハムレット,2019-09-10,2019-06-21,81,セクシーゾーン,36600.0,1,1,1,22.2
155,HAMLET ハムレット,2019-09-10,2019-06-22,80,セクシーゾーン,36600.0,1,1,1,22.2
156,HAMLET ハムレット,2019-09-10,2019-06-23,79,セクシーゾーン,36600.0,1,1,1,22.2
157,HAMLET ハムレット,2019-09-10,2019-06-24,78,セクシーゾーン,36600.0,1,1,1,22.2
158,HAMLET ハムレット,2019-09-10,2019-06-25,77,セクシーゾーン,36600.0,1,1,1,22.2
159,HAMLET ハムレット,2019-09-10,2019-06-26,76,セクシーゾーン,36600.0,1,1,1,22.2
160,HAMLET ハムレット,2019-09-10,2019-06-27,75,セクシーゾーン,36300.0,1,1,1,22.2
161,HAMLET ハムレット,2019-09-10,2019-06-28,74,セクシーゾーン,36300.0,1,1,1,22.2
162,HAMLET ハムレット,2019-09-10,2019-06-29,73,セクシーゾーン,40375.0,1,1,1,22.2
163,HAMLET ハムレット,2019-09-10,2019-07-01,71,セクシーゾーン,40166.666666666664,1,1,1,22.2
164,HAMLET ハムレット,2019-09-10,2019-07-02,70,セクシーゾーン,39375.0,1,1,1,22.2
165,HAMLET ハムレット,2019-09-10,2019-07-03,69,セクシーゾーン,39375.0,1,1,1,22.2
166,HAMLET ハムレット,2019-09-10,2019-07-04,68,セクシーゾーン,39375.0,1,1,1,22.2
167,HAMLET ハムレット,2019-09-10,2019-07-05,67,セクシーゾーン,39375.0,1,1,1,22.2
168,HAMLET ハムレット,2019-09-10,2019-07-06,66,セクシーゾーン,39375.0,1,1,1,22.2
169,HAMLET ハムレット,2019-09-10,2019-07-07,65,セクシーゾーン,39375.0,1,1,1,22.2
