,after,after_and_is_jannies,age,artistname,available,collected_at,date,is_jannies,left_days,name,price_per_deal,price_per_unit,unit
0,0,0,22.3,ジャニーズJr,,2019-05-26,2019-05-27,1,1,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,42547.05882352941,
1,0,0,22.3,ジャニーズJr,,2019-05-27,2019-05-27,1,0,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,44194.117647058825,
2,0,0,22.3,ジャニーズJr,,2019-05-26,2019-05-28,1,2,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,55521.09375,
3,0,0,22.3,ジャニーズJr,,2019-05-27,2019-05-28,1,1,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,64355.882352941175,
4,0,0,22.3,ジャニーズJr,,2019-05-28,2019-05-28,1,0,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,53270.967741935485,
5,0,0,22.3,ジャニーズJr,,2019-05-26,2019-05-29,1,3,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,22986.66666666667,
6,0,0,22.3,ジャニーズJr,,2019-05-27,2019-05-29,1,2,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,50796.969696969696,
7,0,0,22.3,ジャニーズJr,,2019-05-28,2019-05-29,1,1,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,50033.33333333334,
8,0,0,22.3,ジャニーズJr,,2019-05-29,2019-05-29,1,0,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,48015.15151515151,
9,0,0,22.3,ジャニーズJr,,2019-05-27,2019-05-30,1,3,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,18206.25,
10,0,0,22.3,ジャニーズJr,,2019-05-28,2019-05-30,1,2,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,29538.46153846154,
11,0,0,22.3,ジャニーズJr,,2019-05-29,2019-05-30,1,1,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,38000.0,
12,0,0,22.3,ジャニーズJr,,2019-05-29,2019-05-31,1,2,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,26061.98,
13,0,0,22.3,ジャニーズJr,,2019-05-30,2019-05-31,1,1,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,44930.030959752316,
14,0,0,22.3,ジャニーズJr,,2019-05-31,2019-05-31,1,0,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,44260.0,
15,0,0,22.3,ジャニーズJr,,2019-05-30,2019-06-01,1,2,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,59575.757575757576,
16,0,0,22.3,ジャニーズJr,,2019-05-31,2019-06-01,1,1,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,60897.5,
17,0,0,22.3,ジャニーズJr,,2019-05-30,2019-06-02,1,3,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,58725.15290519878,
18,0,0,22.3,ジャニーズJr,,2019-05-31,2019-06-02,1,2,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,52363.15789473683,
19,0,0,22.3,ジャニーズJr,,2019-06-01,2019-06-02,1,1,7 MEN 侍 ジャニーズ銀座2019 Tokyo Experience,,91443.18181818182,
20,0,0,22.2,セクシーゾーン,,2019-06-07,2019-09-08,1,93,HAMLET ハムレット,,79840.90909090909,
21,0,0,22.2,セクシーゾーン,,2019-06-08,2019-09-08,1,92,HAMLET ハムレット,,72568.18181818182,
22,0,0,22.2,セクシーゾーン,,2019-06-09,2019-09-08,1,91,HAMLET ハムレット,,72825.0,
23,0,0,22.2,セクシーゾーン,,2019-06-10,2019-09-08,1,90,HAMLET ハムレット,,73138.88888888889,
24,0,0,22.2,セクシーゾーン,,2019-06-11,2019-09-08,1,89,HAMLET ハムレット,,73906.25,
25,0,0,22.2,セクシーゾーン,,2019-06-12,2019-09-08,1,88,HAMLET ハムレット,,73906.25,
26,0,0,22.2,セクシーゾーン,,2019-06-13,2019-09-08,1,87,HAMLET ハムレット,,69194.44444444444,
27,1,1,22.2,セクシーゾーン,,2019-06-14,2019-09-08,1,86,HAMLET ハムレット,,64458.33333333334,
